City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Gwadar,PK,25.1216,62.3254,85.39,82,100,5.75,overcast clouds
251,Anadyr,RU,64.75,177.4833,55.9,87,75,4.47,broken clouds
252,Magoula,GR,38.0833,23.5167,75.74,41,0,4.61,clear sky
253,Poum,NC,-20.2333,164.0167,73.44,67,97,16.17,overcast clouds
254,Tres Arroyos,AR,-38.3739,-60.2798,47.12,52,88,3.96,overcast clouds
255,Severo-Kurilsk,RU,50.6789,156.125,54.45,95,100,1.14,overcast clouds
256,Sola,VU,-13.8833,167.55,79.47,89,20,0.0,few clouds
257,Komsomolskiy,UZ,40.4272,71.7189,70.52,56,0,9.22,clear sky
258,Namibe,AO,-15.1961,12.1522,62.92,89,12,1.05,few clouds
259,Praya,CV,14.9215,-23.5087,75.74,78,20,14.97,few clouds
260,Oranjemund,NA,-28.55,16.4333,52.48,88,0,6.78,clear sky
261,Fairbanks,US,64.8378,-147.7164,66.22,64,75,8.05,smoke
262,Talnakh,RU,69.4865,88.3972,49.21,60,43,2.95,scattered clouds
263,Resavica,RS,44.0408,21.5816,60.22,42,0,2.57,clear sky
264,Chuy,UY,-33.6971,-53.4616,45.28,83,4,7.07,clear sky
265,Rocha,UY,-34.4833,-54.3333,43.41,84,9,7.18,clear sky
266,Fomboni,KM,-12.28,43.7425,77.95,70,58,13.85,broken clouds
267,Ruteng,ID,-8.6136,120.4721,57.52,92,94,3.89,overcast clouds
268,Batemans Bay,AU,-35.7167,150.1833,52.11,67,75,10.94,broken clouds
269,Matara,LK,5.9485,80.5353,78.67,84,39,12.66,scattered clouds
270,Urengoy,RU,65.9667,78.3667,50.4,64,100,2.98,overcast clouds
271,Trairi,BR,-3.2778,-39.2689,78.69,80,60,11.88,broken clouds
272,Saldanha,ZA,-33.0117,17.9442,55.45,90,100,11.32,overcast clouds
273,Illela,NG,13.7292,5.2975,86.99,48,21,13.15,few clouds
274,Curup,ID,-3.4667,102.5333,67.8,98,97,1.9,overcast clouds
275,Channel-Port Aux Basques,CA,47.5702,-59.1367,60.73,90,68,9.73,broken clouds
276,Broken Hill,AU,-31.95,141.4333,39.07,85,0,6.58,clear sky
277,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,31,10.31,scattered clouds
278,Talcahuano,CL,-36.7167,-73.1167,42.48,93,100,3.44,light rain
279,Stara Synyava,UA,49.6032,27.6191,57.63,84,9,14.41,clear sky
280,Binzhou,CN,37.3667,118.0167,74.73,87,0,0.92,clear sky
281,Lompoc,US,34.6391,-120.4579,89.02,66,0,18.41,clear sky
282,Troitskoye,RU,52.9821,84.6757,49.53,73,72,3.51,broken clouds
283,Alice Springs,AU,-23.7,133.8833,27.95,86,0,5.75,clear sky
284,Guerrero Negro,MX,27.9769,-114.0611,74.44,59,13,17.52,few clouds
285,Bonavista,CA,48.6499,-53.1147,61.38,79,98,20.56,overcast clouds
286,Nome,US,64.5011,-165.4064,64.17,72,40,9.22,scattered clouds
287,Saint George,US,37.1041,-113.5841,107.44,17,0,7.0,clear sky
288,Cherskiy,RU,68.75,161.3,48.99,51,87,15.61,overcast clouds
