City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
320,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
321,Meulaboh,ID,76.42,overcast clouds,4.1363,96.1285,Kost Pria
322,Kaoma,ZM,52.57,clear sky,-14.7833,24.8,KAOMA AIRPORT
324,Kula,TR,65.61,clear sky,38.5473,28.6498,Anemon Kula Hotel
328,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
329,North Bend,US,73.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
335,Nara,JP,77.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
338,Chifeng,CN,68.95,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
343,Souillac,MU,68.74,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
345,Maldonado,UY,50.23,scattered clouds,-34.6667,-54.9167,La Cimarrona
347,Ca Mau,VN,75.29,moderate rain,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
348,Asahikawa,JP,69.31,overcast clouds,43.7678,142.3703,Hoshino Resorts OMO7 Asahikawa
350,Apollonia,GR,71.19,clear sky,36.9716,24.7231,Hotel Anthousa
351,La Paz,BO,60.78,scattered clouds,-16.5,-68.15,Hotel Presidente
352,Port Hardy,CA,59.18,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
353,Karratha,AU,63.27,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
354,Prince Rupert,CA,55.49,overcast clouds,54.3161,-130.3201,Crest Hotel
357,Letpadan,MM,74.86,overcast clouds,17.7833,95.75,AUNG MYO KYAW
361,Karpathos,GR,73.36,clear sky,35.507,27.2132,Alex
362,Eyl,SO,78.58,broken clouds,7.9803,49.8164,Amiin Hotel
363,Nyazepetrovsk,RU,61.92,clear sky,56.0531,59.6028,Otel' Ural
365,Chinsali,ZM,57.9,few clouds,-10.5414,32.0816,Chisakatu Guest House
366,Suleja,NG,72.36,light rain,9.1758,7.1808,Capy Motel
370,Sistranda,NO,55.36,broken clouds,63.7256,8.834,Hotell Frøya
372,Lumphat,KH,73.29,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
373,Nhulunbuy,AU,70.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
375,Richards Bay,ZA,61.97,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
377,Warburg,DE,64.26,broken clouds,51.5,9.1667,Hotel ten Hoopen Restaurant Deele
378,Linz,AT,70.23,clear sky,48.3064,14.2861,Stadtoase Kolping Hotel
380,Anloga,GH,75.9,overcast clouds,5.7947,0.8973,Pin Drop Hotel
384,Solhan,TR,68.7,clear sky,38.9634,41.0293,Solhan Ogretmenevi
385,Almeria,ES,73.78,clear sky,37.1667,-2.3333,Casa Rural El Laurel
386,Samfya,ZM,60.1,scattered clouds,-11.3649,29.5565,Chita Lodge Samfya
387,Leh,IN,59.13,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
388,Chivay,PE,51.19,broken clouds,-15.6383,-71.6011,Casa Andina Standard Colca
389,Bose,IT,75.76,scattered clouds,45.4612,8.0137,Locanda Borgo Antico
391,Aldan,RU,60.49,overcast clouds,58.6031,125.3894,Aldan Guest House
394,Moose Factory,CA,66.2,haze,51.2585,-80.6094,Cree Village Eco Lodge
395,Esfarayen,IR,60.46,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
398,Juneau,US,58.21,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
399,Simao,CN,64.85,few clouds,22.7886,100.9748,Changyu Hotel
400,Faya,SA,64.51,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
401,Sovetskiy,RU,66.22,broken clouds,61.3614,63.5842,Apartment on Kievskaya 29
402,Basqal,AZ,69.76,clear sky,40.7552,48.391,BASQAL QONAQ EVI. GUEST HOUSE
403,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
404,Pringsewu,ID,73.63,overcast clouds,-5.3582,104.9744,Urban Style by Front One
