City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Seydisehir,TR,2022-07-12 20:34:57,37.4193,31.8453,66.92,44,8,4.85
212,Anadyr,RU,2022-07-12 20:34:57,64.75,177.4833,61.3,67,40,11.18
213,Half Moon Bay,US,2022-07-12 20:33:07,37.4636,-122.4286,86.58,66,100,10.36
214,Progreso,MX,2022-07-12 20:34:57,21.2833,-89.6667,94.1,55,100,13.89
215,Jardim,BR,2022-07-12 20:34:58,-21.4803,-56.1381,69.73,60,100,1.99
216,Sarab,IR,2022-07-12 20:34:58,38.6066,44.9883,74.97,37,0,3.69
217,Flinders,AU,2022-07-12 20:34:59,-34.5833,150.8552,47.37,84,100,4.0
218,Sao Joao Da Barra,BR,2022-07-12 20:34:59,-21.6403,-41.0511,77.09,82,80,18.07
219,Aswan,EG,2022-07-12 20:35:00,24.0934,32.907,94.3,17,0,5.75
220,Hobyo,SO,2022-07-12 20:35:00,5.3505,48.5268,77.22,75,73,24.87
221,San Vicente,AR,2022-07-12 20:35:01,-26.6167,-54.1333,50.72,75,1,4.14
222,Harlingen,US,2022-07-12 20:35:01,26.1906,-97.6961,100.49,35,40,16.11
223,Saint-Georges,GD,2022-07-12 20:36:01,12.0564,-61.7485,83.88,74,40,20.71
224,Oksfjord,NO,2022-07-12 20:36:02,70.2396,22.3479,64.47,61,30,8.93
225,Castro,BR,2022-07-12 20:36:02,-24.7911,-50.0119,58.78,68,2,2.35
226,Pangnirtung,CA,2022-07-12 20:36:03,66.1451,-65.7125,45.84,94,100,4.32
227,Santa Cruz,BO,2022-07-12 20:32:57,-17.8,-63.1667,68.05,32,100,14.97
228,Tungawan,PH,2022-07-12 20:36:03,7.5081,122.3711,76.95,89,100,3.89
229,Villa San Giovanni,IT,2022-07-12 20:36:03,38.2276,15.6386,80.01,65,0,9.22
230,Margate,GB,2022-07-12 20:35:52,51.3813,1.3862,75.69,59,100,3.0
231,Port Hardy,CA,2022-07-12 20:31:43,50.6996,-127.4199,59.18,82,75,8.05
232,Shepsi,RU,2022-07-12 20:36:05,44.0361,39.1489,72.66,74,57,5.93
233,Salalah,OM,2022-07-12 20:36:05,17.0151,54.0924,77.09,94,75,6.91
234,Yichang,CN,2022-07-12 20:36:06,30.7144,111.2847,81.91,83,100,1.68
235,Ushtobe,KZ,2022-07-12 20:36:06,45.2514,77.9838,70.56,40,89,2.82
236,Kattivakkam,IN,2022-07-12 20:36:07,13.2167,80.3167,84.29,66,100,16.69
237,Sweetwater,US,2022-07-12 20:35:18,25.7634,-80.3731,95.0,62,75,13.0
238,Caravelas,BR,2022-07-12 20:35:07,-17.7125,-39.2481,70.12,79,10,3.98
239,Aklavik,CA,2022-07-12 20:36:07,68.2191,-135.0107,48.2,100,100,12.66
240,Nhulunbuy,AU,2022-07-12 20:36:07,-12.2333,136.7667,70.41,64,56,11.5
241,Hede,CN,2022-07-12 20:36:08,33.7681,120.2517,84.45,71,98,6.53
242,Galle,LK,2022-07-12 20:36:08,6.0367,80.217,79.25,82,19,13.73
243,Flin Flon,CA,2022-07-12 20:31:40,54.7682,-101.865,73.24,49,20,8.05
244,Pasan,IN,2022-07-12 20:36:10,22.85,82.2,79.16,77,100,5.64
245,San Policarpo,PH,2022-07-12 20:36:10,12.1791,125.5072,78.12,86,66,2.93
246,Sola,VU,2022-07-12 20:36:10,-13.8833,167.55,80.42,75,23,14.34
247,Meiganga,CM,2022-07-12 20:36:11,6.5167,14.3,64.44,97,56,1.9
248,Homer,US,2022-07-12 20:34:15,59.6425,-151.5483,64.29,64,40,1.99
249,Polewali,ID,2022-07-12 20:36:11,-3.4324,119.3435,74.5,82,79,3.09
250,Kyakhta,RU,2022-07-12 20:36:12,50.3508,106.4494,55.45,74,10,0.76
251,Awjilah,LY,2022-07-12 20:36:12,29.1081,21.2869,79.12,57,0,18.05
252,Egvekinot,RU,2022-07-12 20:36:12,66.3167,-179.1667,42.57,93,100,7.31
253,Kavieng,PG,2022-07-12 20:36:13,-2.5744,150.7967,81.84,76,44,10.78
254,Okaihau,NZ,2022-07-12 20:36:13,-35.3167,173.7833,52.52,97,95,5.66
255,Sivaki,RU,2022-07-12 20:36:14,52.6333,126.75,64.06,98,99,6.33
256,Pevek,RU,2022-07-12 20:36:14,69.7008,170.3133,36.75,97,100,19.69
257,Koping,SE,2022-07-12 20:36:14,59.514,15.9926,67.93,64,99,5.26
258,Filadelfia,US,2022-07-12 20:31:45,39.9523,-75.1638,93.22,55,40,19.57
259,Santa Maria,BR,2022-07-12 20:36:15,-29.6842,-53.8069,52.9,62,40,4.61
260,Camabatela,AO,2022-07-12 20:36:15,-8.1881,15.375,62.1,44,33,3.13
261,Saskylakh,RU,2022-07-12 20:36:16,71.9167,114.0833,39.67,81,100,11.12
262,Oranjestad,AW,2022-07-12 20:36:16,12.524,-70.027,85.95,74,20,26.46
263,Kargasok,RU,2022-07-12 20:36:16,59.0556,80.8572,52.66,60,36,5.91
264,Souillac,MU,2022-07-12 20:36:17,-20.5167,57.5167,71.98,64,75,14.97
265,Kudat,MY,2022-07-12 20:36:17,6.8837,116.8477,78.73,89,20,3.44
266,Safonovo,RU,2022-07-12 20:36:18,55.15,33.2167,53.01,97,3,8.21
267,Samarai,PG,2022-07-12 20:36:18,-10.6167,150.6667,79.27,83,32,6.42
268,Ixtapa,MX,2022-07-12 20:33:22,20.7,-105.2,88.23,70,75,12.66
269,Motygino,RU,2022-07-12 20:37:18,58.1831,94.7592,50.36,86,100,2.71
270,Kelvington,CA,2022-07-12 20:37:19,52.1667,-103.5343,74.43,52,0,5.99
271,Sistranda,NO,2022-07-12 20:33:24,63.7256,8.834,55.36,83,74,17.54
272,La Peca,PE,2022-07-12 20:37:19,-5.6111,-78.435,81.3,57,56,5.41
273,Gali,GE,2022-07-12 20:37:20,42.6265,41.7381,70.34,93,97,2.98
274,Sampit,ID,2022-07-12 20:37:20,-2.5333,112.95,73.65,98,100,1.61
275,Gloversville,US,2022-07-12 20:34:29,43.0528,-74.3438,86.56,76,0,3.44
276,Bombay,IN,2022-07-12 20:35:32,19.0144,72.8479,82.38,89,100,13.8
277,Jining,CN,2022-07-12 20:37:20,35.405,116.5814,77.0,1,100,5.21
278,Nemuro,JP,2022-07-12 20:37:21,43.3236,145.575,62.19,98,100,4.74
279,Narsaq,GL,2022-07-12 20:33:42,60.9167,-46.05,55.62,77,19,5.66
280,Deputatskiy,RU,2022-07-12 20:37:21,69.3,139.9,58.08,68,94,1.19
281,Lukovetskiy,RU,2022-07-12 20:37:22,64.2956,41.9211,68.25,71,6,4.32
282,Cherskiy,RU,2022-07-12 20:33:13,68.75,161.3,56.01,65,4,14.81
